"RT_ID","SN_B","STOP_CD_B","SN_E","STOP_CD_E","DIST","LMT_SPD"
"VCH0AZ-NA2","1","CANTK1A","40","CANTK1A","22661","60"
"VCH0EA-NA2","1","CHAGR2A","51","CHAGR2A","26400","60"
"VCH0EC-NA2","1","CHAGR2A","41","CHAGR2A","23283","60"
"VCH0PB-NA2","1","CHAGR2A","41","CHAGR2A","23485","60"
"VCH3CR-NA2","1","CHAGR2A","43","CHAGR2A","24580","60"
"VCH3PO-NA2","1","CHAGR2A","59","CHAGR2A","31142","60"
"VCH3SB-NA2","1","CHAGR2A","58","CHAGR2A","32035","60"
"VCHCBCR-N2","1","CHAGR2A","43","CHAGR2A","24580","60"
"VCHCBPO-N2","1","CHAGR2A","59","CHAGR2A","31142","60"
"VCHCBSB-N2","1","CHAGR2A","58","CHAGR2A","32035","60"
"VCHCCAZ-N2","1","CHAGR2A","40","CHAGR2A","22661","60"
"VCHCCC6-N2","1","CHAGR2A","8","CHAGR2A","7037","60"
"VCHCCEA-N2","1","VUNTK1A","51","VUNTK1A","26400","60"
"VCHCCEC-P2","1","CHAGR2A","41","CHAGR2A","23283","60"
"VCHCCPB-N2","1","TROTK1A","41","TROTK1A","23485","60"
"VCHCNAL-N1","1","CHAGR2A","23","CHAGR2A","39711","60"
"VCHCNPC-N1","1","CHAGR2A","29","CHAGR2A","46479","60"
"VCHCNPH-N1","1","CHAGR2A","25","CHAGR2A","36848","60"
"VCHINCH-N2","1","CHAGR2A","2","CHAGR2A","4747","60"
"VCHNAL-NA1","1","CHAGR2A","23","CHAGR2A","39711","60"
"VCHNPC-NA1","1","CHAGR2A","24","CHAGR2A","41485","60"
"VCHNPH-NA1","1","LPATK1A","25","LPATK1A","36848","60"
"VCHZCH-NA2","1","CHAGR2A","2","CHAGR2A","4747","60"
"VCICNAL-N1","1","CABTK1A","17","CABTK1A","22212","60"
"VCINAL-NA1","1","CABTK1A","17","CABTK1A","22212","60"
"VCIRAZ-NA2","1","CABTK1A","6","CABTK1A","3589","60"
"VCIRCC6-N2","1","CABTK1A","34","CABTK1A","17979","60"
"VCIRCCH-N2","1","CABTK1A","45","CABTK1A","30223","60"
"VCIRCR-NA2","1","CABTK1A","2","CABTK1A","1251","60"
"VCIREA-NA2","1","CABTK1A","13","CABTK1A","5574","60"
"VCIROAZ-N2","1","CABTK1A","6","CABTK1A","3589","60"
"VCIROCR-R2","1","CABTK1A","2","CABTK1A","1251","60"
"VCIROEA-R2","1","CABTK1A","13","CABTK1A","5574","60"
"VCIROPB-R2","1","CABTK1A","3","CABTK1A","1644","60"
"VCIRPB-NA2","1","CABTK1A","3","CABTK1A","1644","60"
"VCIXCH-NA2","1","CABTK1A","45","CABTK1A","30223","60"
"VCN8EM-NA1","1","CEVTM1A","7","CEVTM1A","4098","60"
"VCN8MC-NA1","1","CEVTM1A","7","CEVTM1A","4111","60"
"VCNAIPC-N1","1","CEVTM1A","8","CEVTM1A","11918","60"
"VCNC5C5-N1","1","CEVTM1A","3","CEVTM1A","1942","60"
"VCNCC5-NA1","1","CEVTM1A","3","CEVTM1A","1942","60"
"VCNCNAC-N2","1","CEVTM1A","8","CEVTM1A","11689","60"
"VCNCNAZ-N2","1","CEVTM1A","22","CEVTM1A","19906","60"
"VCNCNEC-N2","1","CEVTM1A","20","CEVTM1A","17297","60"
"VCNCNM1-N2","1","CEVTM1A","12","CEVTM1A","14630","60"
"VCNCNPB-N2","1","CEVTM1A","19","CEVTM1A","17961","60"
"VCNCNPN-N2","1","CEVTM1A","7","CEVTM1A","12726","60"
"VCNCNPO-N2","1","CEVTM1A","7","CEVTM1A","11522","60"
"VCNCNPS-N2","1","CEVTM1A","10","CEVTM1A","12965","60"
"VCNCNS1-N2","1","CEVTM1A","8","CEVTM1A","13136","60"
"VCNCNSB-N2","1","CEVTM1A","7","CEVTM1A","11766","60"
"VCNCNST-N2","1","CEVTM1A","16","CEVTM1A","14852","60"
"VCNCNTE-N2","1","CEVTM1A","17","CEVTM1A","15379","60"
"VCNCNV1-N2","1","CEVTM1A","9","CEVTM1A","15025","60"
"VCNCNVE-P2","1","CEVTM1A","9","CEVTM1A","12039","60"
"VCNCSBV-N2","1","CEVTM1A","9","CEVTM1A","10822","60"
"VCNCSC1-N2","1","CEVTM1A","16","CEVTM1A","20994","60"
"VCNCSCA-N2","1","CEVTM1A","20","CEVTM1A","27110","60"
"VCNCSCE-N2","1","CEVTM1A","10","CEVTM1A","11416","60"
"VCNCSDB-N2","1","CEVTM1A","25","CEVTM1A","23431","60"
"VCNCSEB-N2","1","CEVTM1A","15","CEVTM1A","14515","60"
"VCNCSEL-N2","1","CEVTM1A","15","CEVTM1A","13816","60"
"VCNCSER-N2","1","CEVTM1A","22","CEVTM1A","20774","60"
"VCNCSET-N1","1","CEVTM1A","12","CEVTM1A","13625","60"
"VCNCSPD-N2","1","CEVTM1A","27","CEVTM1A","30615","60"
"VCNCSPP-N2","1","CEVTM1A","14","CEVTM1A","18665","60"
"VCNCSSP-N2","1","CEVTM1A","24","CEVTM1A","23778","60"
"VCNKAL-NA1","1","CEVTM1A","6","CEVTM1A","6342","60"
"VCNKPC-NA1","1","CEVTM1A","5","CEVTM1A","5985","60"
"VCNKPH-NA1","1","CEVTM1A","5","CEVTM1A","4874","60"
"VCNKVR-NA2","1","CEVTM1A","14","CEVTM1A","6245","60"
"VCNMVV-NA1","1","CEVTM1A","4","CEVTM1A","3039","60"
"VCNNAC-NA2","1","CEVTM1A","8","CEVTM1A","11689","60"
"VCNNAZ-NA2","1","CEVTM1A","22","CEVTM1A","19906","60"
"VCNNEC-NA2","1","CEVTM1A","20","CEVTM1A","17297","60"
"VCNNM1-NA2","1","CEVTM1A","12","CEVTM1A","14630","60"
"VCNNPB-NA2","1","CEVTM1A","19","CEVTM1A","17961","60"
"VCNNPN-NA2","1","CEVTM1A","7","CEVTM1A","12726","60"
"VCNNPO-NA2","1","CEVTM1A","7","CEVTM1A","11522","60"
"VCNNPS-NA2","1","CEVTM1A","10","CEVTM1A","12965","60"
"VCNNS1-NA2","1","CEVTM1A","8","CEVTM1A","13136","60"
"VCNNSB-NA2","1","CEVTM1A","7","CEVTM1A","11766","60"
"VCNNST-NA2","1","CEVTM1A","16","CEVTM1A","14852","60"
"VCNNTE-NA2","1","CEVTM1A","17","CEVTM1A","15379","60"
"VCNNV1-NA2","1","CEVTM1A","9","CEVTM1A","15025","60"
"VCNNVE-NA2","1","CEVTM1A","9","CEVTM1A","12039","60"
"VCNSBV-NA2","1","CEVTM1A","9","CEVTM1A","10822","60"
"VCNSC1-CR2","1","CEVTM1A","16","CEVTM1A","20994","60"
"VCNSCA-NA2","1","CEVTM1A","20","CEVTM1A","27110","60"
"VCNSCE-NA2","1","CEVTM1A","10","CEVTM1A","11416","60"
"VCNSDB-CR2","1","CEVTM1A","25","CEVTM1A","23431","60"
"VCNSEB-NA2","1","CEVTM1A","15","CEVTM1A","14515","60"
"VCNSEL-NA2","1","CEVTM1A","15","CEVTM1A","13816","60"
"VCNSER-CR2","1","CEVTM1A","22","CEVTM1A","20774","60"
"VCNSET-NA1","1","CEVTM1A","12","CEVTM1A","13625","60"
"VCNSPD-NA2","1","CEVTM1A","27","CEVTM1A","30615","60"
"VCNSPP-LB2","1","CEVTM1A","14","CEVTM1A","18665","60"
"VCNSSP-LB2","1","CEVTM1A","24","CEVTM1A","23778","60"
"VCNTAEM-N1","1","CEVTM1A","7","CEVTM1A","4098","60"
"VCNTAMC-N1","1","CEVTM1A","7","CEVTM1A","4111","60"
"VCNTKAL-N1","1","CEVTM1A","6","CEVTM1A","6342","60"
"VCNTKPH-N1","1","CEVTM1A","5","CEVTM1A","4874","60"
"VCNTKVR-P2","1","CEVTM1A","14","CEVTM1A","6245","60"
"VCNTMVV-P1","1","CEVTM1A","4","CEVTM1A","3039","60"
"VCX1DI-NA2","1","PENAB2A","7","PENAB2A","3647","40"
"VCX1DO-NA2","1","PENAB2A","10","PENAB2A","5024","40"
"VCX1PD-NA2","1","PENAB2A","8","PENAB2A","3847","40"
"VCX599-NA2","1","BRITM1A","34","BRITM1A","17825","60"
"VCX5DB-NA2","1","PENAB2A","17","PENAB2A","8871","40"
"VCX5E1-NA2","1","PENAB2A","18","PENAB2A","9743","40"
"VCX5SP-NA2","1","PENAB2A","22","PENAB2A","12465","40"
"VCX7ER-NA2","1","PENAB2A","16","PENAB2A","6944","40"
"VCX7PP-NA2","1","PENAB2A","25","PENAB2A","12576","40"
"VCXAP2-NA2","1","PENAB2A","15","PENAB2A","5285","40"
"VCXAPG-NA2","1","PENAB2A","8","PENAB2A","2737","40"
"VCXASI-NA2","1","PENAB2A","18","PENAB2A","6345","40"
"VCXCAES-P2","1","PENAB2A","16","PENAB2A","5994","40"
"VCXCPDI-P2","1","PENAB2A","7","PENAB2A","3647","40"
"VCXCPDO-N2","1","PENAB2A","10","PENAB2A","5024","40"
"VCXCPPD-P2","1","PENAB2A","8","PENAB2A","3847","40"
"VCXCSA3-N1","1","PENAB2A","25","PENAB2A","26373","40"
"VCXCSAL-N1","1","PENAB2A","24","PENAB2A","31069","40"
"VCXCSBV-N2","1","PENAB2A","14","PENAB2A","18008","40"
"VCXCSC5-P1","1","PENAB2A","17","PENAB2A","23964","40"
"VCXCSCE-N2","1","PENAB2A","14","PENAB2A","17489","40"
"VCXCSEL-P2","1","PENAB2A","23","PENAB2A","19992","40"
"VCXCSEM-P1","1","PENAB2A","22","PENAB2A","26090","40"
"VCXCSMC-P1","1","PENAB2A","22","PENAB2A","26103","40"
"VCXCSPC-N1","1","PENAB2A","22","PENAB2A","30233","40"
"VCXCSPH-N1","1","PENAB2A","23","PENAB2A","29601","40"
"VCXCSVV-B1","1","PENAB2A","19","PENAB2A","25287","40"
"VCXDAEB-N2","1","PENAB2A","39","PENAB2A","15574","40"
"VCXEES-NA2","1","PENAB2A","16","PENAB2A","5994","40"
"VCXHC1-NA2","1","PENAB2A","25","PENAB2A","9921","40"
"VCXHJV-NA2","1","PENAB2A","22","PENAB2A","8672","40"
"VCXINCA-N2","1","PENAB2A","2","PENAB2A","390","40"
"VCXMAC1-N2","1","PENAB2A","25","PENAB2A","9921","40"
"VCXMAJV-P2","1","PENAB2A","22","PENAB2A","8672","40"
"VCXMDER-N2","1","PENAB2A","16","PENAB2A","6944","40"
"VCXMDPP-N2","1","PENAB2A","25","PENAB2A","12576","40"
"VCXMTP2-N2","1","PENAB2A","15","PENAB2A","5285","40"
"VCXMTPG-P2","1","PENAB2A","8","PENAB2A","2737","40"
"VCXMTSI-N2","1","PENAB2A","18","PENAB2A","6345","40"
"VCXPD99-N2","1","PENAB2A","34","PENAB2A","17825","40"
"VCXPDDB-N2","1","PENAB2A","17","PENAB2A","8871","40"
"VCXPDE1-N2","1","PENAB2A","18","PENAB2A","9743","40"
"VCXPDSP-N2","1","PENAB2A","22","PENAB2A","12465","40"
"VCXSA3-PT1","1","PENAB2A","25","PENAB2A","26373","40"
"VCXSAL-PT1","1","PENAB2A","24","PENAB2A","31069","40"
"VCXSBV-NA2","1","PENAB2A","14","PENAB2A","18008","40"
"VCXSC5-PT1","1","PENAB2A","17","PENAB2A","23964","40"
"VCXSCE-NA2","1","PENAB2A","14","PENAB2A","17489","40"
"VCXSEL-NA2","1","PENAB2A","23","PENAB2A","19992","40"
"VCXSEM-PT1","1","PENAB2A","22","PENAB2A","26090","40"
"VCXSMC-PT1","1","PENAB2A","22","PENAB2A","26103","40"
"VCXSPC-PT1","1","PENAB2A","22","PENAB2A","30233","40"
"VCXSPH-PT1","1","PENAB2A","23","PENAB2A","29601","40"
"VCXSVV-PT1","1","PENAB2A","19","PENAB2A","25287","40"
"VCXUEB-NA2","1","PENAB2A","39","PENAB2A","15574","40"
"VCXZCA-NA2","1","PENAB2A","2","PENAB2A","390","40"
"VD1CSBV-N2","1","CAL1C2A","11","CAL1C2A","13321","40"
"VD1CSC5-P1","1","CAL1C2A","15","CAL1C2A","19278","40"
"VD1CSCE-N2","1","CAL1C2A","11","CAL1C2A","12802","40"
"VD1CSEM-P1","1","CAL1C2A","19","CAL1C2A","21403","40"
"VD1CSMC-P1","1","CAL1C2A","19","CAL1C2A","21416","40"
"VD1CSPC-N1","1","CAL1C2A","19","CAL1C2A","25546","40"
"VD1CSPH-N1","1","CAL1C2A","19","CAL1C2A","24242","40"
"VD1CSVV-N1","1","CAL1C2A","16","CAL1C2A","20600","40"
"VD1D99-NA2","1","CAL1C2A","22","CAL1C2A","13368","40"
"VD1DAC1-N2","1","CAL1C2A","11","CAL1C2A","4947","40"
"VD1DAEB-P2","1","CAL1C2A","25","CAL1C2A","10653","40"
"VD1DD99-P2","1","CAL1C2A","22","CAL1C2A","13368","40"
"VD1DDE1-P2","1","CAL1C2A","8","CAL1C2A","5325","40"
"VD1DDEL-N2","1","CAL1C2A","17","CAL1C2A","10827","40"
"VD1DDER-P2","1","CAL1C2A","5","CAL1C2A","2458","40"
"VD1DDPP-N2","1","CAL1C2A","14","CAL1C2A","8158","40"
"VD1DDSP-N2","1","CAL1C2A","11","CAL1C2A","8047","40"
"VD1DE1-NA2","1","CAL1C2A","8","CAL1C2A","5325","40"
"VD1DEL-NA2","1","CAL1C2A","17","CAL1C2A","10827","40"
"VD1DER-NA2","1","CAL1C2A","5","CAL1C2A","2458","40"
"VD1DJP2-P2","1","CAL1C2A","11","CAL1C2A","5302","40"
"VD1DJSI-N2","1","CAL1C2A","11","CAL1C2A","5098","40"
"VD1DPCA-N2","1","CAL1C2A","15","CAL1C2A","6532","40"
"VD1DPDO-N2","1","CAL1C2A","25","CAL1C2A","11024","40"
"VD1DPP-NA2","1","CAL1C2A","14","CAL1C2A","8158","40"
"VD1DPPD-P2","1","CAL1C2A","22","CAL1C2A","9847","40"
"VD1DSP-NA2","1","CAL1C2A","11","CAL1C2A","8047","40"
"VD1INDB-N2","1","CAL1C2A","2","CAL1C2A","949","40"
"VD1SBV-NA2","1","CAL1C2A","11","CAL1C2A","13321","40"
"VD1SC5-PT1","1","CAL1C2A","15","CAL1C2A","19278","40"
"VD1SCE-NA2","1","CAL1C2A","11","CAL1C2A","12802","40"
"VD1SEM-PT1","1","CAL1C2A","19","CAL1C2A","21403","40"
"VD1SMC-PT1","1","CAL1C2A","19","CAL1C2A","21416","40"
"VD1SPC-PT1","1","CAL1C2A","19","CAL1C2A","25546","40"
"VD1SPH-PT1","1","CAL1C2A","19","CAL1C2A","24242","40"
"VD1SVV-PT1","1","CAL1C2A","16","CAL1C2A","20600","40"
"VD1TCA-NA2","1","CAL1C2A","15","CAL1C2A","6532","40"
"VD1TDO-NA2","1","CAL1C2A","25","CAL1C2A","11024","40"
"VD1TPD-NA2","1","CAL1C2A","22","CAL1C2A","9847","40"
"VD1UC1-NA2","1","CAL1C2A","11","CAL1C2A","4947","40"
"VD1UEB-NA2","1","CAL1C2A","25","CAL1C2A","10653","40"
"VD1WP2-NA2","1","CAL1C2A","11","CAL1C2A","5302","40"
"VD1WSI-NA2","1","CAL1C2A","11","CAL1C2A","5098","40"
"VD1ZDB-NA2","1","CAL1C2A","2","CAL1C2A","949","40"
"VD2599-NA2","1","24DDI2A","42","24DDI2A","22362","60"
"VD25DB-NA2","1","24DDI2A","25","24DDI2A","13408","60"
"VD25E1-NA2","1","24DDI2A","27","24DDI2A","14280","60"
"VD25PP-NA2","1","24DDI2A","33","24DDI2A","17113","60"
"VD2BDI-NA2","1","24DDI2A","4","24DDI2A","841","60"
"VD2BDO-NA2","1","24DDI2A","8","24DDI2A","2218","60"
"VD2BPD-NA2","1","24DDI2A","5","24DDI2A","1041","60"
"VD2CACA-N2","1","24DDI2A","6","24DDI2A","3174","60"
"VD2CAPG-N2","1","24DDI2A","11","24DDI2A","5242","60"
"VD2CSBV-N2","1","24DDI2A","23","24DDI2A","22545","60"
"VD2CSC5-P1","1","24DDI2A","29","24DDI2A","29191","60"
"VD2CSCE-N2","1","24DDI2A","23","24DDI2A","22026","60"
"VD2CSEM-P1","1","24DDI2A","31","24DDI2A","30627","60"
"VD2CSPC-P1","1","24DDI2A","31","24DDI2A","34770","60"
"VD2CSPH-P1","1","24DDI2A","31","24DDI2A","33466","60"
"VD2DPNI-N2","1","24DDI2A","10","24DDI2A","5958","60"
"VD2ECA-NA2","1","24DDI2A","6","24DDI2A","3174","60"
"VD2EPG-NA2","1","24DDI2A","11","24DDI2A","5242","60"
"VD2PADI-N2","1","24DDI2A","4","24DDI2A","841","60"
"VD2PADO-N2","1","24DDI2A","8","24DDI2A","2218","60"
"VD2PAPD-N2","1","24DDI2A","5","24DDI2A","1041","60"
"VD2PD99-N2","1","24DDI2A","42","24DDI2A","22362","60"
"VD2PDDB-N2","1","24DDI2A","25","24DDI2A","13408","60"
"VD2PDE1-N2","1","24DDI2A","27","24DDI2A","14280","60"
"VD2PDPP-N2","1","24DDI2A","33","24DDI2A","17113","60"
"VD2SBV-NA2","1","24DDI2A","23","24DDI2A","22545","60"
"VD2SC5-PT1","1","24DDI2A","29","24DDI2A","29191","60"
"VD2SCE-NA2","1","24DDI2A","23","24DDI2A","22026","60"
"VD2SEM-PT1","1","24DDI2A","31","24DDI2A","30627","60"
"VD2SPC-PT1","1","24DDI2A","31","24DDI2A","34770","60"
"VD2SPH-PT1","1","24DDI2A","31","24DDI2A","33466","60"
"VD2TNI-NA2","1","24DDI2A","10","24DDI2A","5958","60"
"VDI5CP-NA2","1","PARED2A","18","PARED2A","9250","60"
"VDI5ER-NA2","1","PARED2A","20","PARED2A","10572","60"
"VDI5PP-NA2","1","PARED2A","30","PARED2A","16272","60"
"VDI5VL-NA2","1","PARED2A","28","PARED2A","13670","60"
"VDI6P2-NA2","1","PARED2A","19","PARED2A","9012","60"
"VDIBDO-NA2","1","PARED2A","5","PARED2A","1377","60"
"VDIBDR-NA2","1","PARED2A","2","PARED2A","735","60"
"VDIBDX-NA2","1","PARED2A","5","PARED2A","1781","60"
"VDIBNI-NA2","1","PARED2A","7","PARED2A","5117","60"
"VDIBP4-NA2","1","PARED2A","16","PARED2A","10823","60"
"VDIBPD-NA2","1","PARED2A","2","PARED2A","200","60"
"VDICAES-N2","1","PARED2A","14","PARED2A","6169","60"
"VDICAMX-N2","1","PARED2A","9","PARED2A","5023","60"
"VDICSAL-N1","1","PARED2A","28","PARED2A","34093","60"
"VDICSBV-N2","1","PARED2A","19","PARED2A","21704","60"
"VDICSCE-N2","1","PARED2A","19","PARED2A","21185","60"
"VDICSEM-N1","1","PARED2A","27","PARED2A","29786","60"
"VDICSPC-N1","1","PARED2A","27","PARED2A","33929","60"
"VDICSPH-N1","1","PARED2A","27","PARED2A","32625","60"
"VDICSPU-N1","1","PARED2A","23","PARED2A","27622","60"
"VDICSVV-N1","1","PARED2A","24","PARED2A","28983","60"
"VDIEES-NA2","1","PARED2A","14","PARED2A","6169","60"
"VDIEMX-NA2","1","PARED2A","9","PARED2A","5023","60"
"VDIPADO-N2","1","PARED2A","5","PARED2A","1377","60"
"VDIPADR-N2","1","PARED2A","2","PARED2A","735","60"
"VDIPADX-N2","1","PARED2A","5","PARED2A","1781","60"
"VDIPANI-N2","1","PARED2A","7","PARED2A","5117","60"
"VDIPAP4-N2","1","PARED2A","16","PARED2A","10823","60"
"VDIPAPD-N2","1","PARED2A","2","PARED2A","200","60"
"VDIPDCP-N2","1","PARED2A","18","PARED2A","9250","60"
"VDIPDER-N2","1","PARED2A","20","PARED2A","10572","60"
"VDIPDPP-N2","1","CVITM2A","30","CVITM2A","16272","60"
"VDIPDVL-N2","1","PARED2A","28","PARED2A","13670","60"
"VDIPJP2-N2","1","PARED2A","19","PARED2A","9012","60"
"VDISAL-PT1","1","PARED2A","28","PARED2A","34093","60"
"VDISBV-NA2","1","PARED2A","19","PARED2A","21704","60"
"VDISCE-NA2","1","PARED2A","19","PARED2A","21185","60"
"VDISEM-PT1","1","PARED2A","27","PARED2A","29786","60"
"VDISPC-PT1","1","PARED2A","27","PARED2A","33929","60"
"VDISPH-PT1","1","PARED2A","27","PARED2A","32625","60"
"VDISPU-PT1","1","PARED2A","23","PARED2A","27622","60"
"VDISVV-PT1","1","PARED2A","24","PARED2A","28983","60"
"VDO5E1-NA2","1","ESTA24A","20","ESTA24A","12062","60"
"VDO5PP-NA2","1","ESTA24A","26","ESTA24A","14895","60"
"VDOBES-NA2","1","ESTA24A","13","ESTA24A","4987","60"
"VDOBPD-NA2","1","ESTA24A","8","ESTA24A","2097","60"
"VDOCSCE-N2","1","ESTA24A","16","ESTA24A","19808","60"
"VDOCSEM-N1","1","ESTA24A","24","ESTA24A","28409","60"
"VDOCSPC-N1","1","ESTA24A","24","ESTA24A","32552","60"
"VDOCSPH-N1","1","ESTA24A","25","ESTA24A","31920","60"
"VDOPAES-N2","1","ESTA24A","13","ESTA24A","4987","60"
"VDOPAPD-N2","1","ESTA24A","8","ESTA24A","2097","60"
"VDOPDE1-N2","1","ESTA24A","20","ESTA24A","12062","60"
"VDOPDPP-N2","1","ESTA24A","26","ESTA24A","14895","60"
"VDOSCE-NA2","1","ESTA24A","16","ESTA24A","19808","60"
"VDOSEM-PT1","1","ESTA24A","24","ESTA24A","28409","60"
"VDOSPC-PT1","1","ESTA24A","24","ESTA24A","32552","60"
"VDOSPH-PT1","1","ESTA24A","25","ESTA24A","31920","60"
"VDX5PP-NA2","1","ESTADAA","25","ESTADAA","14491","60"
"VDXBPD-NA1","1","ESTADAA","7","ESTADAA","2405","60"
"VDXCNPH-N1","1","ESTADAA","6","ESTADAA","30662","60"
"VDXCSPC-N1","1","ESTADAA","23","ESTADAA","32148","60"
"VDXNPH-NA1","1","ESTADAA","6","ESTADAA","30662","60"
"VDXPAPD-N1","1","ESTADAA","7","ESTADAA","2405","60"
"VDXPDPP-N2","1","ESTADAA","25","ESTADAA","14491","60"
"VDXSPC-NA1","1","ESTADAA","23","ESTADAA","32148","60"
"VDYAAA2-N1","1","DORTM2A","4","DORTM2A","10335","60"
"VDYAAAL-P1","1","DORTM2A","3","DORTM2A","9123","60"
"VDYAAEM-P1","1","DORTM2A","12","DORTM2A","8510","60"
"VDYAAMC-N1","1","DORTM2A","12","DORTM2A","8123","60"
"VDYAAPH-N1","1","DORTM2A","3","DORTM2A","6254","60"
"VDYIPT-NA1","1","VVETK1A","17","VVETK1A","11784","60"
"VDYLA2-NA1","1","DORTM2A","4","DORTM2A","10335","60"
"VDYLAL-NA1","1","DORTM2A","3","DORTM2A","9123","60"
"VDYLEM-NA1","1","DORTM2A","12","DORTM2A","8510","60"
"VDYLMC-NA1","1","DORTM2A","12","DORTM2A","8123","60"
"VDYLPC-NA1","1","DORTM2A","4","DORTM2A","10912","60"
"VDYLPH-NA1","1","DORTM2A","3","DORTM2A","6254","60"
"VDYMCPC-N1","1","DORTM2A","9","DORTM2A","15906","60"
"VDYME3-NA1","1","DORTM2A","9","DORTM2A","4551","60"
"VDYME4-NA1","1","DORTM2A","10","DORTM2A","3999","60"
"VDYMED-NA1","1","DORTM2A","2","DORTM2A","342","60"
"VDYTME3-P1","1","DORTM2A","9","DORTM2A","4551","60"
"VDYTME4-P1","1","DORTM2A","10","DORTM2A","3999","60"
"VDYTMED-P1","1","DORTM2A","2","DORTM2A","342","60"
"VDYVBPT-N1","1","DORTM2A","17","DORTM2A","11784","60"
"VE1CNC5-P1","1","ESTLP2A","12","ESTLP2A","26644","40"
"VE1CNPC-P1","1","ESTLP2A","14","ESTLP2A","35503","40"
"VE1CNPH-P1","1","ESTLP2A","8","ESTLP2A","25871","40"
"VE1CNVV-N1","1","ESTLP2A","9","ESTLP2A","26228","40"
"VE1CSBV-N2","1","ESTLP2A","15","ESTLP2A","14324","40"
"VE1CSCE-P2","1","ESTLP2A","15","ESTLP2A","13805","40"
"VE1D99-NA2","1","ESTLP2A","20","ESTLP2A","10968","40"
"VE1DAC1-N2","1","ESTLP2A","6","ESTLP2A","3504","40"
"VE1DAEB-P2","1","ESTLP2A","16","ESTLP2A","8958","40"
"VE1DD99-N2","1","ESTLP2A","20","ESTLP2A","10968","40"
"VE1DDB-NA2","1","ESTLP2A","6","ESTLP2A","3969","40"
"VE1DDDB-P2","1","ESTLP2A","6","ESTLP2A","3969","40"
"VE1DDER-P2","1","ESTLP2A","6","ESTLP2A","2717","40"
"VE1DDPP-N2","1","ESTLP2A","10","ESTLP2A","5719","40"
"VE1DDSP-P2","1","ESTLP2A","8","ESTLP2A","5608","40"
"VE1DER-NA2","1","ESTLP2A","6","ESTLP2A","2717","40"
"VE1DJP2-P2","1","ESTLP2A","13","ESTLP2A","5434","40"
"VE1DJSI-N2","1","ESTLP2A","13","ESTLP2A","5230","40"
"VE1DPCA-N2","1","ESTLP2A","19","ESTLP2A","9712","40"
"VE1DPP-NA2","1","ESTLP2A","10","ESTLP2A","5719","40"
"VE1DPPD-N2","1","ESTLP2A","27","ESTLP2A","13027","40"
"VE1DSP-NA2","1","ESTLP2A","8","ESTLP2A","5608","40"
"VE1NC5-NA1","1","ESTLP2A","12","ESTLP2A","26644","40"
"VE1NPC-NA1","1","ESTLP2A","9","ESTLP2A","30509","40"
"VE1NPH-NA1","1","ESTLP2A","8","ESTLP2A","25871","40"
"VE1NVV-NA1","1","ESTLP2A","9","ESTLP2A","26228","40"
"VE1SBV-NA2","1","ESTLP2A","15","ESTLP2A","14324","40"
"VE1SCE-NA2","1","ESTLP2A","15","ESTLP2A","13805","40"
"VE1TCA-NA2","1","ESTLP2A","19","ESTLP2A","9712","40"
"VE1TPD-NA2","1","ESTLP2A","27","ESTLP2A","13027","40"
"VE1UC1-NA2","1","ESTLP2A","6","ESTLP2A","3504","40"
"VE1UEB-NA2","1","ESTLP2A","16","ESTLP2A","8958","40"
"VE1WP2-NA2","1","ESTLP2A","13","ESTLP2A","5434","40"
"VE1WSI-NA2","1","ESTLP2A","13","ESTLP2A","5230","40"
"VE2DPPP-P2","1","ESTLP1A","8","ESTLP1A","3461","40"
"VE2TPP-NA2","1","ESTLP1A","8","ESTLP1A","3461","40"
"VE34A2-NA1","1","ESTICAA","4","ESTICAA","5786","40"
"VE34EM-NA1","1","ESTICAA","6","ESTICAA","3091","40"
"VE34MC-NA1","1","ESTICAA","6","ESTICAA","3104","40"
"VE34PC-NA1","1","ESTICAA","4","ESTICAA","7234","40"
"VE34PH-NA1","1","ESTICAA","5","ESTICAA","5147","40"
"VE34PT-NA1","1","ESTICAA","6","ESTICAA","3982","40"
"VE3C5E4-N1","1","ESTICAA","7","ESTICAA","5699","40"
"VE3CE4-NA1","1","ESTICAA","7","ESTICAA","5699","40"
"VE3CNAC-N2","1","ESTICAA","8","ESTICAA","13428","40"
"VE3CNEC-N2","1","ESTICAA","19","ESTICAA","19630","40"
"VE3CNM1-N2","1","ESTICAA","12","ESTICAA","16369","40"
"VE3CNPB-N2","1","ESTICAA","19","ESTICAA","19700","40"
"VE3CNPO-N2","1","ESTICAA","7","ESTICAA","13261","40"
"VE3CNSB-N2","1","ESTICAA","7","ESTICAA","13505","40"
"VE3CNST-N2","1","ESTICAA","16","ESTICAA","16591","40"
"VE3CNTE-N2","1","ESTICAA","17","ESTICAA","17118","40"
"VE3CNV1-N2","1","ESTICAA","9","ESTICAA","16764","40"
"VE3CNVE-N2","1","ESTICAA","9","ESTICAA","13778","40"
"VE3COA2-N1","1","ESTICAA","4","ESTICAA","5786","40"
"VE3COEM-N1","1","ESTICAA","6","ESTICAA","3091","40"
"VE3COMC-N1","1","ESTICAA","6","ESTICAA","3104","40"
"VE3COPC-N1","1","ESTICAA","4","ESTICAA","7234","40"
"VE3COPH-N1","1","ESTICAA","5","ESTICAA","5147","40"
"VE3COPT-N1","1","ESTICAA","6","ESTICAA","3982","40"
"VE3CSBV-N2","1","ESTICAA","8","ESTICAA","9815","40"
